Wavelength,R,G,B,C,M,Y
642.6,0.765144870451472,0.146219566832998,0.0647606714000478,0.117512512503578,0.041023868106119,0.497269933771395
642.8,0.764422598551536,0.146022629521518,0.0649495644071768,0.117839093689436,0.0412184064755992,0.495580907809829
643,0.763689582894197,0.145827631181699,0.0651383646183306,0.118166586216678,0.0414135510302099,0.49389221190806
643.2,0.762945679898142,0.145634546002689,0.065327049677386,0.118494954188374,0.0416093034639918,0.492203955493022
643.4,0.762190755927246,0.145443351827927,0.0655155978689284,0.118824161371546,0.0418056651731502,0.490516249849612
643.6,0.761424687153682,0.145254030089383,0.065703988111143,0.119154171208155,0.0420026372526738,0.488829208107667
643.8,0.760647359421039,0.145066565741788,0.065892199948703,0.119484946826068,0.0422002204929553,0.487142945228928
644,0.75985866810744,0.144880947196877,0.0660802135456602,0.119816451050038,0.0423984153764103,0.485457577994013
644.2,0.759058517988653,0.144697166257622,0.066268009678334,0.120148646412677,0.0425972220740969,0.483773224989386
644.4,0.758246823101213,0.144515218052466,0.0664555697282014,0.120481495165437,0.0427966404423354,0.482090006594325
644.6,0.757423506605529,0.144335100969563,0.0666428756747863,0.120814959289581,0.042996670019328,0.480408044967445
